Timestamp,User,SourceIP,Location,Application,Status,FailureReason,DeviceInfo
2024-10-10 08:12:34,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 08:15:42,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 08:18:15,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-10 08:21:08,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-10 08:24:56,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-10 08:28:43,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-10 08:32:19,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-10 08:35:47,ingrid.pedersen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,macOS 14 / Chrome 129
2024-10-10 08:39:22,henrik.christensen@nordavind.no,10.0.1.178,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-10 08:42:55,julie.martinsen@nordavind.no,10.0.1.192,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 08:46:18,martin.sorensen@nordavind.no,10.0.1.205,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 08:49:33,anna.johansen@nordavind.no,10.0.1.221,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-10 08:52:47,ole.eriksen@nordavind.no,10.0.1.243,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-10 08:56:12,lise.hansen@nordavind.no,10.0.1.087,Oslo NO,SharePoint Online,Success,,Windows 10 / Edge 128
2024-10-10 09:02:38,per.nielsen@nordavind.no,10.0.1.101,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 09:08:45,kari.berg@nordavind.no,10.0.1.123,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 09:15:22,bjorn.andersen@nordavind.no,10.0.1.145,Oslo NO,Microsoft 365,Success,,macOS 14 / Chrome 129
2024-10-10 09:23:17,silje.jensen@nordavind.no,10.0.1.167,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-10 09:31:44,erik.larsen@nordavind.no,10.0.1.189,Oslo NO,Microsoft 365,Success,,Windows 11 / Edge 128
2024-10-10 09:42:08,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-10 10:15:33,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-10 11:23:45,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Microsoft 365,Success,,Windows 11 / Edge 128
2024-10-10 12:34:22,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-10 13:12:56,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-10 13:45:18,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Azure Portal,Success,,macOS 14 / Safari 17
2024-10-10 14:04:38,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Microsoft 365,Success,,Windows 11 / Edge 128
2024-10-10 14:22:15,ola.hansen@nordavind.no,185.23.187.142,Oslo NO,Azure Portal,Success,,Windows 10 / Chrome 118
2024-10-10 14:23:08,ola.hansen@nordavind.no,185.23.187.142,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 118
2024-10-10 14:28:52,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 14:45:33,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 15:12:47,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft Teams,Success,,Windows 10 / Chrome 129
2024-10-10 15:34:21,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-10 16:08:15,ingrid.pedersen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,macOS 14 / Chrome 129
2024-10-10 16:23:44,henrik.christensen@nordavind.no,10.0.1.178,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 16:45:33,julie.martinsen@nordavind.no,10.0.1.192,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 17:12:28,martin.sorensen@nordavind.no,10.0.1.205,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-10 17:34:56,anna.johansen@nordavind.no,10.0.1.221,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-10 17:52:18,ole.eriksen@nordavind.no,10.0.1.243,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-11 08:08:22,lars.olsen@nordavind.no,10.0.1.023,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-11 08:14:35,emma.berg@nordavind.no,10.0.1.045,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 08:19:47,thomas.hansen@nordavind.no,10.0.1.067,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-11 08:25:13,sofie.andersen@nordavind.no,10.0.1.089,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-11 08:31:42,kristian.jensen@nordavind.no,10.0.1.034,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-11 08:37:55,maria.larsen@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-11 08:43:28,andreas.nilsen@nordavind.no,10.0.1.134,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-11 08:49:16,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-11 08:54:38,henrik.christensen@nordavind.no,10.0.1.178,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-11 09:01:22,julie.martinsen@nordavind.no,10.0.1.192,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-11 09:08:47,martin.sorensen@nordavind.no,10.0.1.205,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 09:16:33,anna.johansen@nordavind.no,10.0.1.221,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-11 09:23:18,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-11 03:17:42,ola.hansen@nordavind.no,89.34.237.89,Bucharest RO,Azure Portal,Success,,Windows 10 / Chrome 118
2024-10-11 03:19:15,ola.hansen@nordavind.no,89.34.237.89,Bucharest RO,Microsoft Graph API,Success,,Windows 10 / Chrome 118
2024-10-11 10:12:45,ole.eriksen@nordavind.no,10.0.1.243,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-11 10:34:22,lise.hansen@nordavind.no,10.0.1.087,Oslo NO,SharePoint Online,Success,,Windows 10 / Edge 128
2024-10-11 11:15:38,per.nielsen@nordavind.no,10.0.1.101,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
